                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.70505,                0.50364,                 1.0423,                0.91847,                0.95259,                0.97053,                0.80026,                0.68492,                0.48189,                 1.1897,              0.0088038,              0.0088038,              0.0088038
                     60,                0.69464,                0.49608,                  1.035,                 0.9535,                0.94534,                 0.9782,                0.79855,                0.68303,                0.54067,                 1.1654,              0.0087831,              0.0087831,              0.0087831
                     61,                0.69112,                0.47921,                 1.0582,                0.95466,                0.95764,                0.98594,                0.80932,                0.66689,                0.46599,                 1.1648,              0.0087625,              0.0087625,              0.0087625
                     62,                 0.6756,                0.49593,                 1.0449,                0.95313,                 0.9357,                0.98503,                 0.8183,                0.65192,                0.44256,                 1.1493,              0.0087419,              0.0087419,              0.0087419
                     63,                0.68764,                0.49077,                 1.0626,                0.91506,                0.98236,                0.98275,                0.83358,                0.59596,                0.43251,                 1.0975,              0.0087212,              0.0087212,              0.0087212
                     64,                0.65446,                0.45117,                 1.0239,                0.91542,                0.96002,                0.98155,                 0.8302,                 0.6008,                0.39782,                 1.0931,              0.0087006,              0.0087006,              0.0087006
                     65,                0.68375,                0.45242,                 1.0382,                0.90055,                0.95935,                0.97208,                0.81869,                0.64271,                0.43533,                 1.1169,                0.00868,                0.00868,                0.00868
                     66,                0.68655,                0.47265,                 1.0435,                0.94652,                0.97203,                0.98262,                 0.8292,                0.61477,                0.42176,                 1.0993,              0.0086594,              0.0086594,              0.0086594
                     67,                0.70034,                0.49976,                 1.0374,                0.94817,                0.96716,                  0.988,                0.81658,                0.66577,                0.41129,                 1.2007,              0.0086388,              0.0086388,              0.0086388
                     68,                0.67314,                0.46179,                 1.0247,                0.91735,                0.97674,                0.97012,                0.79705,                0.65066,                0.43139,                 1.1309,              0.0086181,              0.0086181,              0.0086181
                     69,                0.67929,                0.50181,                 1.0308,                0.95173,                0.97285,                0.98081,                0.80805,                0.62811,                0.40363,                  1.102,              0.0085975,              0.0085975,              0.0085975
                     70,                0.68462,                0.48965,                 1.0306,                0.93912,                0.97201,                0.98256,                0.81962,                0.58607,                   0.41,                   1.08,              0.0085769,              0.0085769,              0.0085769
                     71,                0.63599,                0.45135,                 1.0153,                0.91506,                0.95495,                0.95628,                0.80066,                0.58534,                0.42988,                 1.0584,              0.0085562,              0.0085562,              0.0085562
                     72,                0.66697,                0.44963,                  1.021,                0.90351,                0.95973,                 0.9631,                0.80495,                0.61858,                0.46705,                 1.0813,              0.0085356,              0.0085356,              0.0085356
                     73,                0.65448,                  0.458,                 1.0328,                0.89617,                0.91637,                0.92872,                0.78358,                0.65832,                0.56076,                 1.1193,               0.008515,               0.008515,               0.008515
                     74,                 0.6663,                0.44522,                 1.0164,                0.84828,                0.85999,                0.88627,                0.75405,                0.73378,                0.85914,                 1.2313,              0.0084944,              0.0084944,              0.0084944
                     75,                 0.6457,                0.44061,                 1.0271,                0.79417,                0.89476,                0.91546,                0.77518,                0.64805,                0.74559,                  1.125,              0.0084738,              0.0084738,              0.0084738
                     76,                0.65388,                0.44648,                 1.0431,                0.91787,                0.96426,                0.95496,                0.81061,                0.61545,                 0.4309,                 1.0905,              0.0084531,              0.0084531,              0.0084531
                     77,                0.64377,                0.44673,                 1.0239,                0.91024,                0.97507,                0.95195,                0.78757,                0.66457,                0.47358,                 1.1186,              0.0084325,              0.0084325,              0.0084325
                     78,                0.68231,                0.46202,                 1.0423,                0.90118,                0.95801,                0.95124,                0.79846,                0.61007,                0.41578,                 1.0984,              0.0084119,              0.0084119,              0.0084119
                     79,                0.63461,                0.46818,                  1.006,                0.94475,                0.97289,                0.96968,                0.80071,                0.63576,                0.38984,                 1.1004,              0.0083913,              0.0083913,              0.0083913
                     80,                0.64447,                0.44513,                 1.0058,                0.95322,                0.96321,                0.98326,                0.80796,                0.65923,                0.39262,                 1.1139,              0.0083706,              0.0083706,              0.0083706
                     81,                0.65214,                0.45106,                 1.0307,                 0.9553,                0.96998,                0.99014,                0.81586,                0.66833,                0.38887,                 1.1223,                0.00835,                0.00835,                0.00835
                     82,                0.66341,                0.44994,                 1.0232,                0.93411,                0.97082,                0.98007,                0.79587,                0.77549,                0.48683,                  1.232,              0.0083294,              0.0083294,              0.0083294
                     83,                0.63892,                0.42556,                0.98281,                0.94998,                0.93461,                0.97765,                0.82408,                0.73622,                0.49375,                 1.1588,              0.0083088,              0.0083088,              0.0083088
                     84,                0.63376,                0.43825,                 1.0107,                0.94304,                0.93872,                0.96474,                 0.8243,                0.61985,                0.44246,                 1.0838,              0.0082881,              0.0082881,              0.0082881
                     85,                0.65647,                0.45621,                 1.0082,                0.95707,                0.93615,                0.96608,                0.82514,                 0.6058,                0.40591,                  1.087,              0.0082675,              0.0082675,              0.0082675
                     86,                0.64141,                0.41807,                 1.0055,                0.95393,                0.92254,                0.96364,                0.80973,                0.63209,                0.41576,                 1.0833,              0.0082469,              0.0082469,              0.0082469
                     87,                0.62576,                0.43436,                  1.017,                0.92052,                0.94426,                0.97363,                0.80586,                0.64611,                0.40132,                 1.0954,              0.0082262,              0.0082262,              0.0082262
